Neighborhood,WHITE,HISP,BLACK,ASIAN,OTHER,Zip
Albany Park,15608.0,24927.0,2401.0,7536.0,1520.0,60625
Edgewater,30785.0,9326.0,7446.0,6579.0,1829.0,"60640, 60660"
Edison Park,9599.0,1201.0,194.0,309.0,301.0,60631
Forest Glen,13444.0,2613.0,188.0,2395.0,378.0,60630
Irving Park,22786.0,23704.0,1479.0,4786.0,1851.0,60618
Jefferson Park,17522.0,5948.0,236.0,2476.0,626.0,60630
Lincoln Park,53512.0,4446.0,3206.0,4653.0,1893.0,"60610, 60614"
Lincoln Square,26782.0,6978.0,1594.0,4650.0,1711.0,60625
North Center,27568.0,4192.0,668.0,1791.0,1570.0,"60613, 60618"
North Park,9789.0,3154.0,541.0,4703.0,655.0,60625
Norwood Park,30218.0,4377.0,165.0,1231.0,1098.0,60631
Portage Park,32324.0,26215.0,901.0,3260.0,1607.0,"60634, 60641"
Uptown,31602.0,8324.0,10487.0,5812.0,1748.0,60640
West Ridge,32173.0,14256.0,9201.0,17200.0,3385.0,"60645, 60659"
Alta Vista Terrace,,,,,,60613
Belmont Harbor,,,,,,60657
Boys Town,,,,,,"60613, 60657"
Bucktown,,,,,,"60614, 60622, 60647"
DePaul,,,,,,60614
Lakeview,,,,,,"60613, 60657"
Lakeview Central,,,,,,60657
Lakeview East,,,,,,"60613, 60657"
North Halsted,,,,,,"60613, 60657"
Old Town Triangle,,,,,,60614
Park West,,,,,,60614
Ranch Triangle,,,,,,60614
Roscoe Village,,,,,,"60618, 60657"
Sheffield,,,,,,60614
West DePaul,,,,,,60614
Wrightwood Neighbors,,,,,,60614
Wrigleyville,,,,,,60613
Andersonville,,,,,,60640
Budlong Woods,,,,,,60625
Buena Park,,,,,,"60613, 60640"
East Ravenswood,,,,,,"60613, 60640"
Edgewater Glen,,,,,,"60640, 60660"
Middle Edgebrook,,,,,,"60630, 60646"
North Edgebrook,,,,,,"60630, 60646"
Old Irving Park,,,,,,60641
Peterson Park,,,,,,60659
Ravenswood,,,,,,"60613, 60625, 60640"
West Rogers Park,,,,,,"60645, 60659, 60660"
Avondale ,,,,,,60618
Belmont Gardens,,,,,,"60639, 60641"
Mayfair,,,,,,60630
Old Edgebrook,,,,,,60646
Old Norwood Park,,,,,,60631
Ravenswood Manor,,,,,,60625
Sauganash,,,,,,"60630, 60646"
Sauganash Woods,,,,,,60630
Schorsch Forest View,,,,,,60656
South Edgebrook,,,,,,60646
Union Ridge,,,,,,60656
